number,semester,year,level,preprocessed_title,preprocessed_description,instructors,preprocessed_department_name,preprocessed_topics
15.960,Fall,2017.0,Graduate,new executive thinking socialimpact technology project,customized independent study course put sloan fellow mbahttpmitsloanmitedufellows student direct contact innovator tackling global need education healthcare energyenvironment codesigned project address lowincome market u globally focusing application new idea technology rooted mit innovation boston ecosystem every project aim develop better way right innovation reach scale sustainability quality thereby improving life uncovering opportunity underserved market,Dr. Anjali Sastry,sloan school management,"entrepreneurship, management, business, organizational behavior"
STS.036,Spring,2008.0,Undergraduate,technology nature american history,course considers visual material world nature reshaped industrial practice ideology institution particularly nineteenth twentiethcentury america topic include landuse pattern changing shape city farm redesign water system construction road dam bridge irrigation system creation national park idea wilderness role nature industrial world small farm suburbia walden pond yosemite ask technological natural force interacted whether place nature technological world acknowledgement class based one originally designed taught prof deborah fitzgerald fall 2004 version viewed following link archived course right side page,Jamie Pietruska,science technology society,"engineering, humanity, history, social science, urban study, civil engineering, urban planning, american history, history science technology"
10.492-1,Fall,2004.0,Undergraduate,integrated chemical engineering topic process control design,icetopics course various chemical engineering problem presented analyzed industrial context emphasis integration fundamental material property estimation process control product development computer simulation integration societal issue engineering ethic environmental safety consideration impact technology society addressed context case study broad context icetopics module commonsense notion designing something one plan offnormal condition may occur continuous process conceived designed steadystate operation however process must start shut operate event disturbance timevarying behavior process neglected helpful consider operability process early design alternative still compared module examine tool help evaluate operability candidate process preliminary design stage substantial effort invested,Dr. Barry S. Johnston,chemical engineering,"engineering, science, chemistry, environmental engineering, chemical engineering, analytical chemistry, environmental management, process control system"
WGS.640,Fall,2014.0,Graduate,gender race construction american west,course explores gender shaped historical experience cultural production north american west time explored settled imagined north american west late nineteenth early twentieth century provides fascinating case study shifting meaning gender race citizenship power border society site migration settlement displacement spawned contest land labor dispute interethnic conflict peaceful relation many kind cultural production graduate consortium woman study gcws course part graduate consortium woman study gcws mit brings together scholar teacher nine degreegranting institution boston area devoted graduate teaching research woman study advancing interdisciplinary woman study scholarship learn gcwshttpmitedugcws,"Prof. Karen V Hansen, Prof. Marilynn S Johnson, Prof. Lois Rudnick",woman gender study,"humanity, literature, history, social science, political science, society, gender study, woman study, american history, american literature, american politics, modern history"
21G.107,Fall,2014.0,Undergraduate,chinese streamlined,course along 21g108 158courses21g108chineseiistreamlinedspring2015 offered spring form elementary level streamlined sequence student basic conversational skill gained typically growing chinese speaking environment lack corresponding level literacy focus course learning standard everyday usage reading full simplified character writing course along 21g108 158courses21g108chineseiistreamlinedspring2015 offered spring conducted entirely chinese,Min-Min Liang,global study language,"humanity, language, chinese"
18.177,Fall,2015.0,Graduate,universal random structure 2d,graduatelevel course introduces student fundamental 2d random object explains related explores open problem field,Prof. Scott Sheffield,mathematics,"mathematics, probability statistic, topology geometry, mathematical analysis"
11.423,Spring,2004.0,Graduate,information communication technology community development,practicum subject integrates theory practice design implementation evaluation comprehensive community information infrastructure promotes democratic involvement informs community development project student work lawrence community work inc involve constituent generate solution important planning problem city lawrence massachusetts final project presentation take place public forum serve inform future development information infrastructure subject begin overview digital divide egovernment public participation gi neighborhood information system subject includes reflection component deliberate investigation race class gender dynamic,"Prof. Lorlene Hoyt, Prof. Langley Keyes",urban study planning,"communication, social science, business, sociology, urban study, information technology, community development, urban planning"
15.320,Spring,2011.0,Graduate,strategic organizational design,_15320 strategic organizational design_ focus effective organizational design traditional innovative organization special emphasis innovative organizational form provide strategic advantage topic include use functional divisional matrix organization creates new organizational possibility example innovative organizational possibility democratic decisionmaking crowdbased organization internal resource market form collective intelligence team project include inventing new possibility real organization,Prof. Thomas Malone,sloan school management,"innovation, management, leadership, business, organizational behavior"
14.381,Fall,2018.0,Graduate,statistical method economics,course divided two section part part ii part found provides introduction statistical theory topic include normal distribution limit theorem bayesian concept testing among others,Prof. Anna Mikusheva,economics,"mathematics, probability statistic, economics, social science, econometrics"
6.977,Spring,2005.0,Graduate,ultrafast optic,course offered graduate student address issue regarding ultrafast optic topic covered include generation propagation application ultrashort pulse nano pico femto attosecond pulse linear nonlinear pulse shaping process optical soliton pulse compression laser principle single multimode laser dynamic qswitching active passive modelocking pulse characterization autocorrelation frog spider noise modelocked laser limitation measurement laser amplifier optical parametric amplifier oscillator application research industry pumpprobe technique optical imaging frequency metrology laser ablation high harmonic generation,Prof. Franz Kärtner,electrical engineering computer science,"engineering, science, physic, electrical engineering, signal processing, atomic molecular optical physic, telecommunication"
10.569,Fall,2006.0,Graduate,synthesis polymer,study synthesis polymeric material emphasizing interrelationship chemical pathway process condition microarchitecture molecule produced chemical pathway include traditional approach anionic polymerization radical condensation ringopening polymerization technique discussed including stable free radical polymerization atom transfer free radical polymerization artp catalytic approach welldefined architecture polymer functionalization bulk surface process condition include bulk solution emulsion suspension gas phase batch v continuous fluidized bed microarchitecture includes tacticity molecularweight distribution sequence distribution copolymer error chain branch headtohead addition peroxide incorporation acknowledgement instructor would like thank karen shu karen daniel work preparing material course site,Prof. Paula Hammond,chemical engineering,"engineering, nanotechnology, material science engineering, chemical engineering, molecular engineering, process control system, polymer, polymeric material"
6.451,Spring,2005.0,Graduate,principle digital communication ii,course second twoterm sequence 6450 focus coding technique approaching shannon limit additive white gaussian noise awgn channel performance analysis design principle review 6450 shannon limit awgn channel course begin discussing small signal constellation performance analysis coding gain harddecision softdecision decoding continues binary linear block code reedmuller code finite field reedsolomon bch code binary linear convolutional code viterbi algorithm advanced topic include trellis representation binary linear block code trellisbased decoding code graph sumproduct minsum algorithm bcjr algorithm turbo code ldpc code ra code performance ldpc code iterative decoding finally course address coding bandwidthlimited regime including lattice code trelliscoded modulation multilevel coding shaping time permit cover equalization linear gaussian channel,Prof. David Forney,electrical engineering computer science,"engineering, electrical engineering, telecommunication, digital system"
18.338J,Fall,2004.0,Graduate,infinite random matrix theory,course mathematics infinite random matrix student learn tool stieltjes transform free probability used characterize infinite random matrix,"Prof. Alan Edelman, Prof. Moe Win","mathematics, aeronautics astronautics","science, physic, mathematics, probability statistic, theoretical physic, algebra number theory, linear algebra, differential equation"
11.954,Spring,2005.0,Graduate,communityowned enterprise civic participation,course examine literature practice regarding communityowned enterprise alternative mean increasing community participation development use cooperative credit union land trust limited stock ownership enterprise increasing community participation empowerment examined,Prof. J. Phillip Thompson,urban study planning,"economics, social science, public administration, political science, sociology, community development, public policy, public economics"
18.445,Spring,2015.0,Graduate,introduction stochastic process,course introduction markov chain random walk martingale galtonwatsom tree course requires basic knowledge probability theory linear algebra including conditional expectation matrix,Dr. Hao Wu,mathematics,"mathematics, probability statistic"
21A.240,Spring,2004.0,Undergraduate,race science,course examines one enduring influential form identity experience america europe particular way race racism created justified contested scientific practice discourse drawing classical contemporary reading du bois gould gilroy ask whether logic race might changing world genomics informatics changed logic respond today new configuration race science technology inequality considered rise evolutionary racism debate eugenics early twentieth century nazi notion racial hygiene nationbuilding project race latin america movement modern biology race population gene genome,Prof. Stefan Helmreich,anthropology,"social science, sociology, anthropology, social justice, ethnography, cultural anthropology"
21M.263,Spring,2006.0,Undergraduate,music since 1960,course begin premise 1960s mark great dividing point history 20th century western musical culture explores way various social artistic concern composer performer listener evolved since decade focus work classical composer around world topic include impact rock developed 1960s 70 concurrent emergence post serial neotonal minimalist new age style globalization western musical tradition impact new technology significance music video video game version multimedia course interweaves discussion topic close study seminal musical work evenly distributed across four decade since 1960 work mit composer included,Prof. Brian Robison,music theater art,"music, medium study, fine art, music history, music theory"
21W.011,Fall,2015.0,Undergraduate,writing rhetoric rhetoric contemporary issue,course seek provide supportive context student grow significantly writer discovering engaging issue matter writing social ethical issue see within tradition author charles dickens frederick douglas elizabeth cady stanton george orwell rachel carson john f kennedy martin luther king jr used power pen inspire social change,Dr. Andrea Walsh,comparative medium studieswriting,"communication, humanity, literature, social science, public administration, society, global poverty, public policy, social welfare, rhetoric"
24.917,Fall,2018.0,Undergraduate,conlangs construct language,course explores language deliberately constructed including esperanto klingon tolkien elvish student construct language considering basic linguistic characteristic various language world regular assignment student describe phonology morphology syntax semantics writing system constructed language final assignment grammatical description new language,Prof. Norvin W. Richards,linguistics philosophy,"humanity, linguistics, phonology, semantics, syntax"
4.105,Fall,2012.0,Graduate,geometric discipline architecture skill reciprocal methodology,course intensive introduction architectural design tool process taught series short exercise conceptual basis exercise interrogation geometric principle lie core skill skill covered course range technique hand drafting generation 3d computer model physical modelbuilding sketching diagramming weekly lecture pinups address convention associated mode architectural representation capacity convey idea course tailored offered firstyear march student,Brandon Clifford,architecture,"architecture, fine art, architectural design"
4.301,Spring,2007.0,Undergraduate,introduction visual art,class introduce student variety contemporary art practice idea class begin brief overview visual language looking variety artwork discussing basic concept revolving around artistic practice rest class focus notion realunreal explored various medium practice class work video sculpture public space,Prof. Joe Zane,architecture,"visual art, fine art"
6.047,Fall,2015.0,Undergraduate,computational biology,course cover algorithmic machine learning foundation computational biology combining theory practice cover foundational topic computational biology current research frontier study fundamental technique recent advance field work directly current largescale biological datasets,Prof. Manolis Kellis,"electrical engineering computer science, health science technology","engineering, biological engineering, computational biology"
ESD.69,Fall,2010.0,Graduate,seminar health care system innovation,seminar applies system perspective understand health care delivery today stakeholder problem well opportunity student introduced system perspective used successfully industry address introduction new process technology strategy improve overall health outcome student assigned team work semesterlong group project collaboration staff nearby boston hospital,"Prof. Joseph Coughlin, Stan Finkelstein, MD, Prof. Joel Moses","engineering system division, health science technology","engineering, innovation, system engineering, health care management, health medicine, business, biomedical enterprise"
18.996,Spring,2004.0,Graduate,random matrix theory application,course introduction basic random matrix theory motivated engineering scientific application,"Prof. Alan Edelman, Prof. Moe Win","mathematics, aeronautics astronautics","mathematics, probability statistic, applied mathematics, linear algebra, calculus, mathematical analysis"
3.987,Spring,2006.0,Undergraduate,human origin evolution,course examines dynamic interrelation among physical behavioral trait human environment culture provide integrated framework studying human biological evolution modern diversity topic include issue morphological evolution adaptation fossil cultural evidence human evolution earliest time pleistocene evolution tool use social behavior modern human variation concept race class also study stone artifact fossil specimen,Dr. Harry Merrick,material science engineering,"social science, anthropology, archaeology, biological anthropology"
24.961,Fall,2014.0,Graduate,introduction phonology,course serf introduction current research question phonological theory topic include metrical prosodic structure feature phonetic basis speech acquisition parsing phonological domain morphology language change reconstruction activity include problem solving squib data collection,Prof. Michael Kenstowicz,linguistics philosophy,"humanity, linguistics, phonology"
21A.348,Spring,2008.0,Undergraduate,photography truth,still photography practice form expression worked way every facet social life every culture world considered perspective history social science discus us function picture understood interpreted whether clearcut content meaning shape shaped politics economics social life,Prof. James Howe,anthropology,"social science, visual art, fine art, anthropology, ethnography, cultural anthropology, photography"
17.148,Spring,2006.0,Graduate,political economy globalization,graduate seminar student already familiarity issue political economy andor european politics objective examine way change international economy regime regulate interact domestic politics policymaking institutional structure political economy industrialized democracy,Prof. Suzanne Berger,political science,"economics, social science, political science, business, globalization, political economy, international economics"
24.111,Spring,2005.0,Undergraduate,philosophy quantum mechanic,quantum mechanicseven ordinary nonrelativistic particle formulation primary focus coursehas staggeringly successful physical theory surely one crowning achievement 20th century science also rather bizarrebizarre enough lead intelligent otherwise sensible people make claim universe perpetually splitting many copy conscious mind power make physical system jump unpredictable way classical logic stand need fundamental revision much much course intelligent sensible people attempt take sober look alleged implication quantum mechanic well certain stubborn problem continue trouble foundation along way take plenty time discus philosophical question science quantum mechanic raise new interesting way eg mean attribute probability physical event aim scientific inquiry aim something true merely something useful role observation constructing scientific theory mean say objective physical world whether something basic logic viewed empirical discipline whether meaningful scientific question whose answer cannot possibly settled experiment,Prof. Edward Hall,linguistics philosophy,"science, physic, humanity, philosophy, metaphysics, quantum mechanic"
15.761,Spring,2013.0,Graduate,introduction operation management,course provides student concept technique tool design analyze improve core operational capability apply broad range application domain industry emphasizes effect uncertainty decisionmaking well interplay highlevel financial objective operational capability topic covered include production control risk pooling quality management process design revenue management also included case study guest lecture simulation game demonstrate central concept,"Prof. Charles H. Fine, Prof. Tauhid Zaman",sloan school management,"mathematics, social science, business"
4.645,Fall,2004.0,Graduate,selected topic architecture architecture 1750 present,class general study modern architecture response important technological cultural environmental aesthetic theoretical challenge european enlightenment focus theoretical historiographic design approach architectural problem encountered age industrial postindustrial expansion across globe specific attention dominance european modernism setting agenda discourse global modernity large explores modern architectural history thematic exposition rather simple chronological succession idea,Prof. Arindam Dutta,architecture,"architecture, fine art, architectural history criticism"
15.060,Fall,2014.0,Graduate,data model decision,course designed introduce firstyear sloan mba student fundamental technique using data particular course focus various way modeling thinking structurally decision problem order make informed management decision,"Prof. Robert Freund, Prof. Cynthia Rudin, Juan Pablo Vielma Centeno",sloan school management,"engineering, computer science, mathematics, management, system engineering, probability statistic, business, supply chain management, operation management, data mining, system optimization"
24.951,Fall,2003.0,Graduate,introduction syntax,course concerned concept principle central significance recent development syntactic theory special focus government binding gb principle parameter pp minimalist program mp approach first series two course 24951 taught fall 24952 taught spring course deal mostly phrase structure argument structure syntactic expression including amovement though issue eg whmovement antecedentcontained deletion extraposition may mentioned semester course systematically investigate topic class 24952 goal course understand certain problem treated certain way thus many occasion variety approach discussed recent historical development approach emphasized,"Prof. Michel DeGraff, Prof. Idan Landau",linguistics philosophy,"humanity, linguistics, syntax"
18.712,Fall,2010.0,Undergraduate,introduction representation theory,goal course give undergraduatelevel introduction representation theory group lie algebra associative algebra representation theory area mathematics roughly speaking study symmetry linear space,Prof. Pavel Etingof,mathematics,"mathematics, algebra number theory, linear algebra"
18.06,Spring,2010.0,Undergraduate,linear algebra,basic subject matrix theory linear algebra emphasis given topic useful discipline including system equation vector space determinant eigenvalue similarity positive definite matrix,Prof. Gilbert Strang,mathematics,"mathematics, linear algebra"
12.480,Fall,2006.0,Graduate,thermodynamics geoscientists,course principle thermodynamics used infer physical condition formation modification igneous metamorphic rock course includes phase equilibrium homogeneous heterogeneous system thermodynamic modeling nonideal crystalline solution also survey process lead formation metamorphic igneous rock major tectonic environment earth crust mantle,Prof. Timothy Grove,earth atmospheric planetary science,"science, physic, earth science, thermodynamics, geophysics, geology"
21H.383,Fall,2016.0,"Undergraduate, Graduate",technology global economy 10002000,seminar examines global history last millennium including technological change commodity exchange system production economic growth student engage economic history medieval early modern origin modern system production consumption global exchange topic include long prehistory modern economic development medieval world system age discovery global crisis 17th century demographic system global population movement industrial revolution rise modern consumer colonialism empire building pattern inequality within across state curse natural resource fate africa threat climate change modern economic system student taking graduate version complete additional assignment,Prof. Anne McCants,history,"humanity, history, american history, world history, medieval history, african history"
21A.110,Spring,2003.0,Undergraduate,anthropological theory,course introduces student major social theory debate inspire inform anthropological analysis course semester investigate range theoretical proposition concerning topic agency structure subjectivity history social change power culture politics representation ultimately theory read statement human being world create inhabit approach theoretical perspective proposition three level 1 term analytical explanatory power understanding human behavior social world 2 context social historical circumstance produced 3 contribution ongoing dialogue debate,Prof. Susan S. Silbey,anthropology,"social science, anthropology, cultural anthropology"
18.325,Fall,2015.0,Graduate,topic applied mathematics wave imaging,class cover mathematics inverse problem involving wave example taken reflection seismology synthetic aperture radar computerized tomography,Prof. Laurent Demanet,mathematics,"mathematics, applied mathematics, computation"
18.996A,Spring,2004.0,Graduate,simplicity theory,advanced topic course model theory whose main theme simple theory treat simple theory framework compact abstract theory general first order theory cover basic property independence ie nondividing simple theory characterization simple theory existence notion independence hyperimaginary canonical base,Dr. Itay Ben-Yaacov,mathematics,"mathematics, algebra number theory, mathematical logic"
2.18,Spring,2015.0,Undergraduate,biomolecular feedback system,course focus feedback control mechanism living organism implement molecular level execute function emphasis technique design novel system prescribed behavior student learn biological function understood designed using notion feedback control,Domitilla Del Vecchio,mechanical engineering,"engineering, science, mechanical engineering, system engineering, biological engineering, biology, computational biology, molecular biology, dynamic control, computation system biology, system design, synthetic biology"
21L.481,Spring,2003.0,Undergraduate,victorian literature culture,course cover british literature culture queen victoria long reign 18371901 brilliant age charles dickens brontës lewis carroll george eliot robert browning oscar wilde arthur conan doyle rudyard kipling alfred lord tennyson many others also age urbanization steam power class conflict darwin religious crisis imperial expansion information explosion bureaucratization much,Prof. James Buzard,literature,"humanity, literature, history, social science, anthropology, european history, cultural anthropology"
21M.410,Spring,2007.0,Undergraduate,vocal repertoire performance woman composer,course singer andor pianist interested collaborative study solo vocal performance term focus upon work woman composer student gather biographical data explore art song operatic aria choral masterpiece arrangement employing sacred secular text additionally student conduct inquiry work indicative heritage,Ms. Pamela Wood,music theater art,"music, fine art, society, woman study, music history, music performance"
4.171,Fall,2004.0,Graduate,space workshop,workshop explores designer might become sensitive space object number project precedent study architectural design studied relation space design process studied reverse considering space first object second imply object important rather space equally important,Prof. Jan Wampler,architecture,"architecture, fine art, architectural design, environmental design"
4.220,Fall,2004.0,Graduate,urban housing paris london new york,class present analysis development housing model urban implication paris london new york city seventeenth century present focus three model french hotel london row house new york city tenement apartment building topic covered include twentiethcentury housing reform movement work london county council ciam american public housing agency,Prof. Michael Dennis,architecture,"social science, urban study, urban planning, housing development"
6.858,Fall,2014.0,Graduate,computer system security,6858 computer system security class design implementation secure computer system lecture cover threat model attack compromise security technique achieving security based recent research paper topic include operating system o security capability information flow control language security network protocol hardware security security web application,Prof. Nickolai Zeldovich,electrical engineering computer science,"engineering, computer science, software design engineering, computer design engineering"
HST.952,Fall,2002.0,Graduate,computing biomedical scientist,course introduces abstraction important mechanism problem decomposition solution formulation biomedical domain examines computer representation storage retrieval manipulation biomedical data part course briefly examine effect programming paradigm choice problemsolving approach introduce data structure algorithm also examine knowledge representation scheme capturing biomedical domain complexity principle data modeling efficient storage retrieval final project involves building medical information system encompasses different concept taught course computer science basic covered first part course integral understanding topic covered latter part completing assigned homework,"Dr. Aziz Boxwala, Dr. Omolola Ogunyemi, Dr. Qing Zeng",health science technology,"engineering, computer science, biological engineering, health medicine, biomedicine, computational biology, biomedical instrumentation"
MAS.S66,Spring,2015.0,Graduate,indistinguishable magic interface technology tradition,focus creation functional prototype practicing real magical craft class combine theatrical illusion game design sleight hand machine learning camouflage neuroscience explore idea ancient magic modern stage illusion inform cutting edge technology,"Greg Borenstein, Dan Novy",medium art science,"science, humanity, history, visual art, fine art, biology, performance art, history science technology, neuroscience, game design"
STS.S28,Fall,2005.0,Undergraduate,godzilla bullet train technology culture modern japan,course explores japan latecomer modernization emerged industrial power world secondrichest nation notwithstanding recent difficulty particularly concerned historical development technology japan especially 1945 giving particular attention interplay business ideology technology culture discus key historical phenomenon symbolize modern japan technological power world specific example discussed class include _kamikaze_ aircraft _shinkansen_ highspeed bullet train godzilla anime,Dr. Takashi Nishiyama,science technology society,"medium study, fine art, society, asian study"
20.453J,Fall,2008.0,Graduate,biomedical information technology,course teach design contemporary information system biological medical data example chosen biology medicine illustrate complete life cycle information system beginning data acquisition following data storage finally retrieval analysis design appropriate database clientserver strategy data interchange protocol computational modeling architecture student expected familiarity scientific application software basic understanding least one contemporary programming language eg c c java lisp perl python major term project required student subject open motivated senior strong interest biomedical engineering information system design ability carry significant independent project course offered part singaporemit alliancehttpwebmitedusma sma program course number sma 5304,"Prof. Sourav Saha Bhowmick, Prof. C. Forbes Dewey, Prof. Hanry Yu","biological engineering, mechanical engineering, health science technology","engineering, computer science, biological engineering, health medicine, biomedicine, business, information technology, data mining, computational biology, biomedical instrumentation, medical imaging"
2.002,Spring,2004.0,Undergraduate,mechanic material ii,course provides mechanical engineering student awareness various response exhibited solid engineering material subjected mechanical thermal loading introduction physical mechanism associated designlimiting behavior engineering material especially stiffness strength toughness durability understanding basic mechanical property engineering material testing procedure used quantify property way property characterize material response quantitative skill deal materialslimiting problem engineering design basis material selection mechanical design,"Prof. Lallit Anand, Prof. David Parks",mechanical engineering,"engineering, mechanical engineering, material science engineering, solid mechanic"
15.871,Fall,2013.0,Graduate,introduction system dynamic,introduction system thinking system dynamic modeling applied strategy organizational change policy design student use simulation model management flight simulator case study develop conceptual modeling skill design management highperformance organization dynamic world,"Prof. Hazhir Rahmandad, Prof. John Sterman",sloan school management,"engineering, management, system engineering, business, operation management, organizational behavior, computational modeling simulation, system optimization"
EC.710,Spring,2010.0,Undergraduate,dlab medical technology developing world,dlab health provides multidisciplinary approach global health technology design via guest lecture major project based fieldwork explore current state global health challenge learn design medical technology address problem student may travel nicaragua spring break work health professional using medical technology design kit gain field experience device challenge final class deliverable create product design solution address challenge observed field resulting design prototyped summer continued evaluation testing,Jose Gomez-Marquez,edgerton center,"health medicine, developing world, society, public health, biomedicine"
15.401,Fall,2008.0,Graduate,finance theory,course introduces core theory modern financial economics financial management focus capital market investment topic include function capital market financial intermediary asset valuation fixedincome security common stock capital budgeting diversification portfolio selection equilibrium pricing risky asset theory efficient market introduction derivative option,Prof. Andrew Lo,sloan school management,"economics, social science, business, finance, financial economics"
18.S096,Fall,2015.0,Undergraduate,topic mathematics data science,mostly selfcontained researchoriented course designed undergraduate student also extremely welcoming graduate student interest research theoretical aspect algorithm aim extract information data often lie overlap two following mathematics applied mathematics computer science electrical engineering statistic operation research,Dr. Afonso Bandeira,mathematics,"engineering, computer science, mathematics, probability statistic, applied mathematics, data mining"
21A.00,Spring,2013.0,Undergraduate,introduction anthropology,comparative study different culture anthropology explores fundamental question mean human seek understand culture shape society smallest island south pacific largest asian metropolis affect way institution work scientific laboratory christian megachurches course provide framework analyzing diverse facet human experience gender ethnicity language politics economics art,Prof. Graham Jones,anthropology,"social science, anthropology, social anthropology, cultural anthropology"
7.01SC,Fall,2011.0,Undergraduate,fundamental biology,_fundamentals biology_ focus basic principle biochemistry molecular biology genetics recombinant dna principle necessary understanding basic mechanism life anchor biological knowledge required understand many challenge everyday life human health disease loss biodiversity environmental quality course format click get startedimagesbutton_startpngpagessyllabus course designed independent study consists four unit one topic unit used individually combination material unit include lecture video mit faculty learning activity including interactive concept quiz designed reinforce main concept lecture problem set check answer solution youre done problem solving video help session taught experienced mit teaching assistant list important term definition suggested topic link study exam solution key content development eric lander robert weinberg tyler jack hazel sive graham walker sallie chisholm dr michelle mischke,"Prof. Sallie Chisholm, Prof. Tyler Jacks, Prof. Eric Lander, Dr. Michelle Mischke, Prof. Hazel Sive, Prof. Graham Walker, Prof. Robert Weinberg",biology,"science, biology"
16.512,Fall,2005.0,Graduate,rocket propulsion,class focus chemical rocket propulsion system launch orbital interplanetary flight study modeling solid liquidbipropellant hybrid rocket engine thermochemistry prediction specific impulse nozzle flow including real gas kinetic effect also covered topic covered include structural constraint propellant feed system turbopumps combustion process solid liquid hybrid rocket,Prof. Manuel Martinez-Sanchez,aeronautics astronautics,"engineering, science, physic, thermodynamics, aerospace engineering, propulsion system"
18.022,Fall,2010.0,Undergraduate,calculus several variable,variation 1802 multivariable calculushttpsocwmiteducoursesmathematics1802scmultivariablecalculusfall2010 cover topic 1802 focus mathematical concept acknowledgement prof mckernan would like acknowledge contribution lars hesselholt development course,Prof. James McKernan,mathematics,"mathematics, linear algebra, differential equation, calculus"
21M.289,Spring,2015.0,Undergraduate,islammedia,course introduction islam perspective medium sound study intended advanced undergraduate graduate student time prophet muhammad islam various manifestation complex relationship medium much contemporary writing focus islam _in_ medium course explores many aspect islamic practice thinking might understood medium technology facilitate inscription storage transmission knowledge central question include islam medium technology relate kind practice inscription transmission characterize islam variety across time place might islamic thought practice understood light database network audiovisual sensation given rich diversity islam historically geographically emphasis placed interconnected divergent practice earliest revelation quran contemporary islamist political movement geography spanning indonesia middle east north africa well europe north america addition exploring theme reading writing student encouraged complete course assignment project _in_ medium using audiovisual documentary composition mean responding course theme,Dr. Peter McMurray,music theater art,"humanity, music, visual art, medium study, fine art, society, film video, religion, middle eastern study, music history"
16.355J,Fall,2005.0,Graduate,software engineering concept,reading discussion subject issue engineering software system software development project design includes present state software engineering tried past worked topic may differ offering chosen software process lifecycle requirement specification design principle testing formal analysis review quality management assessment product process metric cot reuse evolution maintenance team organization people management software engineering aspect programming language,Prof. Nancy Leveson,"aeronautics astronautics, institute data system society","engineering, computer science, system engineering, business, software design engineering, project management, system design"
14.453,Fall,2006.0,Graduate,macroeconomic theory iii,course cover issue theory consumption investment asset price lay basic model first examine empirical fact motivate extension model,Prof. Iván Werning,economics,"economics, social science, macroeconomics"
11.337J,Spring,2009.0,Graduate,urban design policy action,course examine relationship public policy urban design reading discussion presentation paper also analyze way policy shape city investigate government implement urban design student gain critical understanding complex system governance within urban design occurs effective tool available creative intervention,Dr. Aseem Inam,"urban study planning, architecture","architecture, social science, public administration, fine art, urban study, environmental design, urban planning, public policy"
16.06,Fall,2012.0,Undergraduate,principle automatic control,course introduces design feedback control system applied variety air spacecraft system topic include property advantage feedback system timedomain frequencydomain performance measure stability degree stability root locus method nyquist criterion frequencydomain design state space method,Prof. Steven Hall,aeronautics astronautics,"engineering, aerospace engineering, guidance control system"
17.196,Fall,2005.0,"Graduate, Undergraduate",globalization,seminar explores change international economy effect domestic politics economy society globalization really new phenomenon irreversible effect wage inequality social safety net production innovation affect relation developed country developing country globalization affect democracy key issue examined,Prof. Suzanne Berger,political science,"economics, social science, business, sociology, globalization, social justice, political economy, international economics"
15.347,Fall,2004.0,Graduate,doctoral seminar research method,course designed lay foundation good empirical research social science deal specific technique per se rather assumption logic underlying social research student become acquainted variety approach research design helped develop research project evaluate product empirical research,"Prof. Lotte Bailyn, Prof. Jesper B. Sorensen",sloan school management,social science
2.003,Spring,2005.0,Undergraduate,modeling dynamic control,course first two term sequence modeling analysis control dynamic system various topic covered follows mechanical translation uniaxial rotation electrical circuit coupling via lever gear electromechanical device analytical computational solution linear differential equation statedetermined system laplace transforms transfer function frequency response bode plot vibration modal analysis open closedloop control instability timedomain controller design introduction frequencydomain control design technique case study engineering application also covered,"Prof. Steven Dubowsky, Prof. David Trumper",mechanical engineering,"engineering, mathematics, mechanical engineering, system engineering, applied mathematics, computational modeling simulation, dynamic control"
2.081J,Spring,2007.0,Graduate,plate shell,course explores following topic derivation elastic plastic stressstrain relation plate shell element bending buckling rectangular plate nonlinear geometric effect postbuckling ultimate strength cold formed section typical stiffened panel used naval architecture general theory elastic shell axisymmetric shell buckling crushing bending strength cylindrical shell application offshore structure application crashworthiness vehicle explosive impact loading structure class taught first half term,Prof. Tomasz Wierzbicki,"mechanical engineering, aeronautics astronautics","engineering, mechanical engineering, solid mechanic, structural mechanic, fluid mechanic, ocean structure, aerospace engineering, ocean engineering"
21G.044,Fall,2011.0,Undergraduate,classic chinese literature,course introduction three major genre traditional chinese literaturepoetry fiction drama focus vernacular fiction read translation number masterworks chinese literature also examine intertextuality genre poetry blend narrative fiction becomes drama drama inspires fiction reading selected work traditional chinese literature examine major feature traditional chinese society religious philosophical belief imperial system dynastic change gender relation notion class ethnicity family romance sexuality work read translation language background necessary,Prof. Emma Teng,global study language,"humanity, literature, classic, international literature, poetry"
21G.401,Fall,2008.0,Undergraduate,german,course give introduction german language culture focus acquisition vocabulary grammatical concept active communication audio video printed material provide direct exposure authentic german language culture selfpaced language lab program fully coordinated textbookworkbook first semester cover development effective basic communication skill,Peter Weise,global study language,"humanity, language, society, european russian study, german"
21M.302,Spring,2005.0,Undergraduate,harmony counterpoint ii,subject explore harmonic melodic formal practice western music principally socalled classical idiom central europe ca 17501825 topic include quick review material covered 21m301 chromatic harmony vii sup o7 bii sup 6 chord augmented sixth chromatic modulation lecture study discussion complemented work keyboard laboratory sightsinging laboratory area study integrated semesterlong project composing theme two variation classical style,Prof. Brian Robison,music theater art,"music, fine art, music history, music performance, music theory"
21M.734,Spring,2005.0,Undergraduate,design theater scenery,course examine theory scenic design currently practiced well historical tradition use performance space audienceperformer engagement four play script one opera dance theater piece designed indepth analysis emphasis social political cultural milieu time creation,William Fregosi,music theater art,"fine art, performance art, theatrical design"
